pdf_page,printed_page,text_char_count,image_count,text_layer_status,parser_used,text_sha256
296,295,1003,0,TEXT_AVAILABLE,pymupdf_text,0d0167a028b84f09bbfad6c30a4a5b3e7a8d83f7a44a996f87650e27e81eacec
297,296,1143,0,TEXT_AVAILABLE,pymupdf_text,a35769c26fa381d6d42934d83c10411a4fb5975e6c150b5f03b43afe215e0218
298,297,1267,0,TEXT_AVAILABLE,pymupdf_text,db1079550ccdda63ffc8a5278049a511a2324b5476efe7b0c46233bb0d13cd4c
299,298,1286,0,TEXT_AVAILABLE,pymupdf_text,bddd160d585918f9bacd1cc950a0adb4e7b5437752c99558fdf9876276f4df33
300,299,1286,0,TEXT_AVAILABLE,pymupdf_text,e320af5cb3a34f947017c945ee9e0ade1da744586611f9f92a94e89978c3d024
301,300,1357,0,TEXT_AVAILABLE,pymupdf_text,3a3b65a4826955f13b7a183d496d3d31d566cc9924683f8c1150b4bd82e5bd26
302,301,1360,0,TEXT_AVAILABLE,pymupdf_text,de1411decea61568fe4aab492761cbd3477b12b2a9a49440a6e0ccb2a70b9f93
303,302,1168,0,TEXT_AVAILABLE,pymupdf_text,2c227c2f725454948e930959385f90be25761b4f8174b6a6203cd0f6d10b3628
304,303,1145,0,TEXT_AVAILABLE,pymupdf_text,5cd65c7ab7aa37d0e7a4013b0742866a2c5a15d1ebeed2b1417d7fe72f9722fd
305,304,1063,0,TEXT_AVAILABLE,pymupdf_text,1398aa0be3347b3462983f5c3dcc857e71e357fcafe7f3786a394ed39a3bf37b
306,305,1254,0,TEXT_AVAILABLE,pymupdf_text,d01ef66d277a23ba51d8678de855acd8ea8e5f70a08c130c7b2d51cd150b365c
307,306,1075,0,TEXT_AVAILABLE,pymupdf_text,d06c183c31b85dd9a0567672c8258a90aeb7c2208199cf094252e86149d0a3c8
308,307,990,0,TEXT_AVAILABLE,pymupdf_text,584e86bb42edbeb59df8c5c2fd3384d85ec854d8072a17c7f84b3b45613420a1
309,308,913,0,TEXT_AVAILABLE,pymupdf_text,548b789d88c4619b53eaa7af6f5e44b159f51d6850e492c33acc48ede6087c0d
310,309,990,0,TEXT_AVAILABLE,pymupdf_text,09e52140f2d17eea62dd18fd3c83ae1df05c4f54dbd709127d2e9469d29f6318
311,310,1085,0,TEXT_AVAILABLE,pymupdf_text,170c36998258dfdcd0fa4aef53a43547902d999c1cf00f91d9923d2330cb2e81
312,311,817,0,TEXT_AVAILABLE,pymupdf_text,77e65527e092daa5afc86b34eaf48794bb493458e9a182321565d3a687da368f
313,312,890,0,TEXT_AVAILABLE,pymupdf_text,87cfd4d2c541a035f7303c67d7efd7dd06b9be4237a64513597ddc1519596a0e
314,313,959,0,TEXT_AVAILABLE,pymupdf_text,395d54df618c19c473c0f08b0e55c7ffe4d7cd20a1035824ca5a154000d59732
315,314,1060,0,TEXT_AVAILABLE,pymupdf_text,ac4cc8bf82396d017bacfb5ff08f68de9d3675e11e41e30199a2f0fc3438e059
316,315,1128,0,TEXT_AVAILABLE,pymupdf_text,72ff9eddf9362938af99daa515e8e37bd81e50c865225bcf2f9be1060d330acb
317,316,923,0,TEXT_AVAILABLE,pymupdf_text,63412514d8b55051f7640f7875e2884dc83e44a2ba0f52fe76f8ace540f87b3a
318,317,933,0,TEXT_AVAILABLE,pymupdf_text,6e4d93808e240175bd14e3240e7586f068475a7cbf1301414ede4b8ca9729eea
319,318,961,0,TEXT_AVAILABLE,pymupdf_text,7564fef02485cd478f5714d1ddc2c7cdb5a6b329d5e139505e78dcf7717ec49d
320,319,828,0,TEXT_AVAILABLE,pymupdf_text,a42da31e2ff47ea919a991f793d8d565a6edc02e6f599a76b7ef7ba34f7a0d21
321,320,903,0,TEXT_AVAILABLE,pymupdf_text,a373e290f03bdd8866d98dc937ad1f1471d85507e154552aa75550c12f1312db
322,321,976,0,TEXT_AVAILABLE,pymupdf_text,98983bd2d08fa04953a06b5c37ece382fb2e6fb09895713218bb4c8ca5690323
323,322,949,0,TEXT_AVAILABLE,pymupdf_text,db4328ea2841e5200689b4edf74d9373627bf9c14efa9b38404d3532cfbf2de1
324,323,1000,0,TEXT_AVAILABLE,pymupdf_text,a461099151159066c06702446d0837aa31a69a34c1e901dcc98d1fcf423103e5
325,324,903,0,TEXT_AVAILABLE,pymupdf_text,1cfd919a08ef9711478774cbcbd5b6f18cbd413616bffa41223366d54e4d4b76
326,325,1195,0,TEXT_AVAILABLE,pymupdf_text,40304c827a81dd1b3a2bd943627ddc688ee081476102c7241e336f398afd8934
327,326,1153,0,TEXT_AVAILABLE,pymupdf_text,4909dcf827866fa64815ec6cd8af2cddf99a3b725eeacfefd4068ec2c5921a40
328,327,1027,0,TEXT_AVAILABLE,pymupdf_text,486f4e35b1fe545594e53ace1ac0f45484d3ccc006b3b1894ba0bba2188e8d67
329,328,1220,0,TEXT_AVAILABLE,pymupdf_text,bef4cb2367d3ae26178e3138547ae7bd5f2da367eed24f7d3ee1cb0e8803a205
330,329,1056,0,TEXT_AVAILABLE,pymupdf_text,0b6d18723d18de3d6710d01ac207a245a16b383be2900777e2e67deace272758
331,330,1413,0,TEXT_AVAILABLE,pymupdf_text,2a51d6254c4a81c3adb725f8e6286bdabc62997f57f58ba1dc924aa55a9505e9
332,331,1380,0,TEXT_AVAILABLE,pymupdf_text,d9d104a814f4494a9bb0948a603a6e5836f4c793b98c2945493d7f7c3b67fbab
333,332,954,0,TEXT_AVAILABLE,pymupdf_text,ef6646a744d70e5c28193f734db363739cb4872e932e549e9afa474feb1b9541
334,333,1067,0,TEXT_AVAILABLE,pymupdf_text,81dd951f7c6f5552a78f8e4d502312b2efc63327852f4f9b6107927ee6df1284
335,334,1126,0,TEXT_AVAILABLE,pymupdf_text,a242085e171b7addcaa4593fdb65ccbbbee5b52749b5310e754c037eb86224d1
336,335,1085,0,TEXT_AVAILABLE,pymupdf_text,264b8c9818bcc3923947da7be558a60c7d3d4568ab67254a5473bf65843932d5
337,336,1151,0,TEXT_AVAILABLE,pymupdf_text,f50b9977df71de47309e9c94049e9f924a98a6de7296eb5ff17b02e2dd8b4505
338,337,1116,0,TEXT_AVAILABLE,pymupdf_text,7ae031961a02b905714c1cfca64ddefdf678aed4a3926aee89347c58b3fc0a5f
339,338,1228,0,TEXT_AVAILABLE,pymupdf_text,66d242134515218fa65ff949749abfd48843ebce927d69782c45c917943e77cc
340,339,1142,0,TEXT_AVAILABLE,pymupdf_text,ea5dce0716f5be68fbbbafba631068833bddeff99306bc7abdc80ab528776c96
341,340,879,0,TEXT_AVAILABLE,pymupdf_text,4198442cbe9c32690dca5c4efb594119d41b6c16ba3b48d1ec13a675056001e3
342,341,992,0,TEXT_AVAILABLE,pymupdf_text,2a228fb863aedd4907c7a6b388c3aa08f01549043c6fa64b7c2718f81a0fb652
343,342,865,0,TEXT_AVAILABLE,pymupdf_text,c14a650868789ac4f50ed609a1e74065aa83c0e67391d517e73ffc000c0ed3cf
344,343,1266,0,TEXT_AVAILABLE,pymupdf_text,79a115268d72f07cdea475589b957d2f1d50a0b8ec88d77aac9ca7fbbd37a9f0
345,344,1029,0,TEXT_AVAILABLE,pymupdf_text,8cca067d74081cec969906043927d87f6a465a1459de7978133a94175d6ef240
346,345,1054,0,TEXT_AVAILABLE,pymupdf_text,a6a36bdd578dc7a3f8e5bc20bbd13e904704af6528330da2155e55c05b922be9
347,346,946,0,TEXT_AVAILABLE,pymupdf_text,8e332683bf2149f51353d1886b2d40b7a428cc2d62d0a73bc41ac78d54fb0ba0
348,347,902,0,TEXT_AVAILABLE,pymupdf_text,53c9b0e1fcc44d3560855e23cbde1c41ce6f7df51b6267dc1f3ab61a8085e1d5
349,348,1052,0,TEXT_AVAILABLE,pymupdf_text,31df36b1e1cb9e64bfa3c61a0ee7b9f0dd0da45f01f58a0cfb79ed583ddf37fd
350,349,891,0,TEXT_AVAILABLE,pymupdf_text,b6b6ff6cbb735ebf213c487915ac2f259107822587fee41ea2825502282b5147
351,350,1043,0,TEXT_AVAILABLE,pymupdf_text,cc9815083b95e63385cc71df985604a22e3df36c96ed993da4ce92cb5b9645ca
352,351,1063,0,TEXT_AVAILABLE,pymupdf_text,491dd060288054b030ef8453da57f753f10b13fa98fdd13a887abd1fbbae93f5
353,352,1099,0,TEXT_AVAILABLE,pymupdf_text,6d53fd45900b00a21f0704f1fc174db675e7043f27be1c62d5f13c372698e5fa
354,353,1137,0,TEXT_AVAILABLE,pymupdf_text,9410a6ee6f90169ff7c2e2485ed8c2af29289e68ef28dd9974c3d890e6ede107
355,354,616,0,TEXT_AVAILABLE,pymupdf_text,3efdc17ffb174affc5105ce178d4b3b75eedeb168e3a9f41c1eb5b1bf3bd0ba4
356,355,797,0,TEXT_AVAILABLE,pymupdf_text,5dedb004291fc51cae0fc4d09327a19b0717fe027be87ddec0269a8aebd17f64
357,356,1144,0,TEXT_AVAILABLE,pymupdf_text,585356e50abf2b04351f80666c689f09c007c99b65afdde56a1bda867315c43c
358,357,1057,0,TEXT_AVAILABLE,pymupdf_text,4bed9d4ba22035e4466ce929ac9490cd0db92ae3f0168e420f0a8a90bdaa83d6
359,358,491,0,TEXT_AVAILABLE,pymupdf_text,5263f5dc3bc92652a6ed5b93cdf3074809efdc5145e71b5afb94b4639218cbf9
360,359,892,0,TEXT_AVAILABLE,pymupdf_text,c110eda6217cdf8277da3996f5b6f2621d90d2de955355b978f1974acc385379
361,360,1052,0,TEXT_AVAILABLE,pymupdf_text,16cd4caa3376e9f6038d3881a1414f8ba7c3ed020a33a0d041071190683cf126
362,361,850,0,TEXT_AVAILABLE,pymupdf_text,e1a06109b0616ed268b7c14539b6f4b52af0383fd2a888a95ea1a83f2befc1e5
363,362,1052,0,TEXT_AVAILABLE,pymupdf_text,9a64f51b636575ca533132bf13bd89d568047127a720cfcdf82906005e91b267
364,363,808,0,TEXT_AVAILABLE,pymupdf_text,8d9402a271717a6e84ff7785d9d3faaf0edb11effbfa42c7270265a481db8d00
365,364,971,0,TEXT_AVAILABLE,pymupdf_text,b78d71890123c90133012806ac234c2e931ddcddd6f8e2c401b626d5652e72cc
366,365,921,0,TEXT_AVAILABLE,pymupdf_text,f74fec990c3a4c50fed6cfaee1b5fb06c8de0c3969e8dc0e8b92ac7e4c55b82c
367,366,886,0,TEXT_AVAILABLE,pymupdf_text,8782e21f14e6c5d31d830cbf31f59688ee07899e6b3f78c163b8b61d3107e405
368,367,951,0,TEXT_AVAILABLE,pymupdf_text,94d019c39196c7f9d5b7a8ca6492cba6ceb5e1d1a5b2dfa616b8c3105db84891
369,368,852,0,TEXT_AVAILABLE,pymupdf_text,4e87128ff0f2b5cc4354c39322cf84b921a1a818394614d5cb7ddfd5b6e6c21d
370,369,924,0,TEXT_AVAILABLE,pymupdf_text,0a745d3e95add31bde67f1f0fba3954f777c0edd8f5204bf83b547c1d6f0910d
371,370,516,0,TEXT_AVAILABLE,pymupdf_text,badc1c94f6d0cefd707c5f9753b09476fa4f819c91474bb87eb60c23c2cf2bf7
372,371,897,0,TEXT_AVAILABLE,pymupdf_text,a9a69dea2ebc39343ce48ea87ebbd83e9283f126f4e58d0d0c5eea65f85f35d8
373,372,792,0,TEXT_AVAILABLE,pymupdf_text,c5382f861ba057ccc7cd154578986c355d3bb40a838c5a5c47ce3403544f753a
374,373,799,0,TEXT_AVAILABLE,pymupdf_text,29e7ec464a508a79f8561988b4135f3d55f500aaae23330e83602a052167f6f9
375,374,843,0,TEXT_AVAILABLE,pymupdf_text,8a4d6da985e503dd6327f4ec607ebe5751c95c107d6eca241b3346649b169f57
376,375,888,0,TEXT_AVAILABLE,pymupdf_text,4f4a2d435eeb45f2d987479793b52aad8763dc21b1a571609d8c0bc68b22d0e8
377,376,769,0,TEXT_AVAILABLE,pymupdf_text,364d810e5f0ff6755f53b58267c0c8a65d6ba6a222e4911c87ce99dfe0385f28
378,377,971,0,TEXT_AVAILABLE,pymupdf_text,b93cbf1e9e822f7b666c6097a354962a376925ce6ae4c6ba206f1fa3b54adc96
379,378,787,0,TEXT_AVAILABLE,pymupdf_text,754de93627c4754b03b0b08f3bcafc28cbef0336fcfda8004278ba7410c842eb
380,379,964,0,TEXT_AVAILABLE,pymupdf_text,ec766f16a515e475f44cdedd9c00aeae98cf8f0a3d5e69a593df05a2c7fc4b15
381,380,1261,0,TEXT_AVAILABLE,pymupdf_text,e7a95deead890abbaeb85185e572181ad46a0abd366d410df09a7f149cd32b5c
382,381,1066,0,TEXT_AVAILABLE,pymupdf_text,2438461beccc780116d33aac809849acd99c6089517219ea122dae7de5c770fd
383,382,1372,0,TEXT_AVAILABLE,pymupdf_text,2391645b1a10791c56725d5993607339f4e5036a540f20489b607de00ec7a48d
384,383,1431,0,TEXT_AVAILABLE,pymupdf_text,872388672ecc84d5422b041c37e7a6fbadc81112724ec276637a47188a371e86
385,384,864,0,TEXT_AVAILABLE,pymupdf_text,eb0a252a36f4d63a59b2d1cd67028eea7978bc43c7e2df7db23033865a1e60ec
386,385,1045,0,TEXT_AVAILABLE,pymupdf_text,9e44b654fa204e5729af35fea64f7797a374f74f7c22ea61b774c01bc49158f1
387,386,866,0,TEXT_AVAILABLE,pymupdf_text,76744f0abd924ff181b4fbd092ae169f74602e6653b80c93d3808006223b7482
388,387,1075,0,TEXT_AVAILABLE,pymupdf_text,9866a669a48a7bd8d62b796c8f9af50ab66ec1dcfe8882def59f0be5d31d6bfd
389,388,1032,0,TEXT_AVAILABLE,pymupdf_text,95dddaea8d51662af3bbeae2e019e09ebc8230756ac5ae22c748500abc79f492
390,389,725,0,TEXT_AVAILABLE,pymupdf_text,063c9d8250cb5789ce9aecbd1efe0314efd86e45b4964b2feac6a838355444d0
391,390,894,0,TEXT_AVAILABLE,pymupdf_text,73aa3b7c93fcf00b562fe5402edd41d92f66b8dee867cb97ad644dda0d81067f
392,391,899,0,TEXT_AVAILABLE,pymupdf_text,96ac97d431e38dc7e28e1cfaf48eb9bab4fa5c2cf210dd07eb57aaf0b7bdc3e5
393,392,930,0,TEXT_AVAILABLE,pymupdf_text,3b85fdddf59421527575b04346fc52343453398085b437926bfea3c8286c468e
394,393,556,0,TEXT_AVAILABLE,pymupdf_text,48c1998b69249839df5c694ad7b96973119b64ea715a6bceeee35e77942db06b
395,394,760,0,TEXT_AVAILABLE,pymupdf_text,6dcaf24598cae0ef977f4c073f91cd6aeb2c8291f9d35ceca453b2ffcff23aff
396,395,735,0,TEXT_AVAILABLE,pymupdf_text,b999a146c074f90725d30d939506754ef9be4b7f491fe2eb4f8845d3faa2f873
397,396,799,0,TEXT_AVAILABLE,pymupdf_text,6eebd2cbd25f434e10a3943103b158ade541f1261acae419e4c1a916b500a9e3
398,397,940,0,TEXT_AVAILABLE,pymupdf_text,41e7ecfa5eeb8f9ff1a2214af35fcd285adc00dd470f01da464f684e068b9c33
399,398,952,0,TEXT_AVAILABLE,pymupdf_text,2564d4a7f91ee1515a95e2b9bb15aff5e70d25e63bc9988664503933a14802f1
400,399,372,0,TEXT_AVAILABLE,pymupdf_text,faf283811b7642a40c96f42a316c7d3b4c8be166d15cbaf3e39bfbdd8034a384
401,400,922,0,TEXT_AVAILABLE,pymupdf_text,95ee2102d93db8a94a1900b17c509fad56caf6a1f425fc6361156b666d2895a0
402,401,1131,0,TEXT_AVAILABLE,pymupdf_text,dc191eb082581219e371135ce5ca1105f79e5f6df6800db5690fbd39cc93c874
403,402,1032,0,TEXT_AVAILABLE,pymupdf_text,f9daaed929a1dc0dcbe1905246df07d41192eb10cb008110909bf0f9c7e14057
404,403,1067,0,TEXT_AVAILABLE,pymupdf_text,cfc72f6cfc16522de8a16916ba826b875724dbc0478efc1bb44b9f647260e48c
405,404,1133,0,TEXT_AVAILABLE,pymupdf_text,197f872756da5fa07feee6ebac3f702bbab59b613f94eaf1248c233d1bb246bf
406,405,1536,0,TEXT_AVAILABLE,pymupdf_text,1ee4bd987dd2eef6edb0b32120a9ab075bbce438da69cd24c3ebafec0ab2253a
407,406,703,0,TEXT_AVAILABLE,pymupdf_text,900cd23a96e4db62640edc76b93fd06e145d18506e7a497464b0b507ccc96fc6
408,407,207,0,TEXT_AVAILABLE,pymupdf_text,00a53a7b90e8a2fb6e9a331347573b604921d967e0b2d2f1809fbe885378626a
409,408,442,1,TEXT_AVAILABLE,pymupdf_text,9b4cfe3451051eafc37b9720c7514729577833a9555bff61bc54ab2ca7477b28
410,409,236,1,SPARSE_TEXT_WITH_IMAGE,pymupdf_text,8539d96f32e72a64805e9ad8baf2958cc0d34620c5952a5ecab91727d5ad8ae4
411,410,281,1,SPARSE_TEXT_WITH_IMAGE,pymupdf_text,1d601ad97eb71b6fbb05a078a4f61defdd0ad06158f8c5b484435fca14c3d8fd
412,411,264,1,SPARSE_TEXT_WITH_IMAGE,pymupdf_text,9d5a043eb73802c10049acfe42eccf9b4ca259266b9bc2a69475a758085f4702
413,412,341,1,TEXT_AVAILABLE,pymupdf_text,3bfdc923e364350174c33569ca6d0ece190e28f1cd1b855521cb1f274a699708
414,413,606,1,TEXT_AVAILABLE,pymupdf_text,bc0d181a158bd32b4496f9a22846e44bf97f4aeaa1233c096e72c1861fb6d1c6
415,414,361,1,TEXT_AVAILABLE,pymupdf_text,964b13f7073eea24b80f272e906e782a9c2cb7e047ba3dbde8521bcd24b2c67a
416,415,358,1,TEXT_AVAILABLE,pymupdf_text,133180ee1c574781c1fd723e496178cc724bfd3af9d6dfd03785da53d921bc8d
417,416,401,1,TEXT_AVAILABLE,pymupdf_text,53c9e54184a657c065dede5651afcdde6607a96d80049cd5d3b7576e23807157
418,417,480,1,TEXT_AVAILABLE,pymupdf_text,48495b9fd0bc4165fb137040be7bed8e744deb679e56e235f3f669a023dd0a73
419,418,454,0,TEXT_AVAILABLE,pymupdf_text,5fa9a3a6539c478c21a9f4b3576b7a18964d40114764638db858cdb3ef23dd40
420,419,317,0,TEXT_AVAILABLE,pymupdf_text,3f2d1018bfae3e91da785f199618242a0685c0b06eeca575131ee6568afdbedd
421,420,749,0,TEXT_AVAILABLE,pymupdf_text,6244e7460c5f596051bef035ba631c265d24baa2e86f5ff2d842f1688a8cfb4c
422,421,753,0,TEXT_AVAILABLE,pymupdf_text,89a1e097c5471a34c612a0bc389dfa512ae3307ee4ff3a649a7c4dd2ff7196db
423,422,503,0,TEXT_AVAILABLE,pymupdf_text,61262562e0120f317cd2beac4221300c971be68837144545b6e5125b168c3671
424,423,824,0,TEXT_AVAILABLE,pymupdf_text,a1a03ce2202131e8128a506bf067f04a88c9f04eeec4048573a3daa19501eb9e
425,424,906,0,TEXT_AVAILABLE,pymupdf_text,de10a91ec8d7c4a1b1c66842a79f66c99d404e64fdeb0c3882e90ceceb3dd2db
426,425,890,0,TEXT_AVAILABLE,pymupdf_text,35c00a8ef5d70c8df9bf96b087a2fd1cf3d245e1e0ba8807cc0d2a34762be3d2
427,426,908,0,TEXT_AVAILABLE,pymupdf_text,bd875ea4a480af522926e9932121ec8ddfbf6767e4887283c3e26fa30d96a008
428,427,878,0,TEXT_AVAILABLE,pymupdf_text,5a470af35d8eb98ac27d4b071876b6df1c6043ae15d0644f8ec1d10d4d41f6c5
429,428,873,0,TEXT_AVAILABLE,pymupdf_text,acb36399bfe42dcdd1f6e66dff96117d81bed149d6d1ff481e5f8d950fa5abe1
430,429,920,0,TEXT_AVAILABLE,pymupdf_text,3eb87f6ee0998d5f0310a8303d7aa75face99d347f439652d93185a6f028af0e
431,430,773,0,TEXT_AVAILABLE,pymupdf_text,e35d42fc69dfd6ac0bef1055885a209e60dc2c6fe4e8db2667ce79376419510a
432,431,949,0,TEXT_AVAILABLE,pymupdf_text,342a810106ca188d649c2300a774f523115c94e3cac9acdc1a222cef0c554434
433,432,874,0,TEXT_AVAILABLE,pymupdf_text,3133e4d3d1c513d1687b5c152eb2644ecbc1b1af5abe9afb2db1d77ffe5746e2
434,433,793,0,TEXT_AVAILABLE,pymupdf_text,449f0d943d7a78bf3f29dc177aebe310fc1c7c00c342a8d262d3099350bc7ae3
435,434,731,0,TEXT_AVAILABLE,pymupdf_text,9021054c32652f1bd7c613e55fd5ffc20f2cfb9cdd6fe57a9913f64a22d6fa57
436,435,712,0,TEXT_AVAILABLE,pymupdf_text,da1904df2ac134b98c37303ba05a74f373d4551abd3efe9ca0f4df862001550e
437,436,794,0,TEXT_AVAILABLE,pymupdf_text,2c84a217c67234a854403b31659061a18609dbdbcf54aa16a5187b56f34891e2
438,437,988,0,TEXT_AVAILABLE,pymupdf_text,ec69e43542950515887d1dff52890537263527fc50f260b5e6091e096c37bfc0
439,438,798,0,TEXT_AVAILABLE,pymupdf_text,eac80e74439b56b1ba334747f39a327c759618a51499aab2873c17c2c11bed84
440,439,558,0,TEXT_AVAILABLE,pymupdf_text,9164f6264da37c5ba6fd3811261cd03e8c25e9fd76042aad0b6920732399c63d
441,440,908,0,TEXT_AVAILABLE,pymupdf_text,548819845f026896ced9f866ea4978333e43a526029d93bc09a10df534626a93
442,441,771,0,TEXT_AVAILABLE,pymupdf_text,5fed5445bef9ab5389ad6e6fd92f35e47dc9921292a026f3615cb87387abde3b
443,442,445,0,TEXT_AVAILABLE,pymupdf_text,e6d92d02bb7b754af72bf75878e1ee3ff977f63234365060537db19a3d74a729
